acc_e,acc_b
0.5075785319010416,0.50018310546875
0.5426534016927083,0.5387369791666667
0.6467946370442708,0.6476084391276042
0.6719512939453125,0.681427001953125
0.6828867594401042,0.700958251953125
0.6867421468098958,0.7156270345052084
0.6930135091145833,0.7329813639322917
0.6907501220703125,0.7427419026692709
0.6886545817057291,0.7507120768229166
0.6843668619791667,0.7539265950520834
0.683135986328125,0.76458740234375
0.6838887532552083,0.7732289632161458
0.6841074625651042,0.7805277506510417
0.6818339029947917,0.7872670491536459
0.679931640625,0.7901713053385416
0.6787363688151042,0.7956746419270833
0.6743927001953125,0.7993977864583334
0.672760009765625,0.8039449055989583
0.6726633707682292,0.8063913981119791
0.6683909098307292,0.8095143636067708
0.6652475992838542,0.8121846516927083
0.6496785481770834,0.8105010986328125
0.65814208984375,0.8152516682942709
0.6558380126953125,0.8172810872395833
0.653228759765625,0.8203481038411458
0.6519114176432292,0.8229115804036458
0.6496480305989583,0.8248647054036458
0.648468017578125,0.8276519775390625
0.6484120686848958,0.8318532307942708
0.6501261393229167,0.8365071614583333
0.6489206949869792,0.8384246826171875
0.6515655517578125,0.8423207600911458
0.6498565673828125,0.8424784342447917
0.6222330729166667,0.8447774251302084
0.6345113118489583,0.8477274576822916
0.6442362467447916,0.84765625
0.6446634928385416,0.8557535807291667
0.6410166422526041,0.8575998942057292
0.6491495768229167,0.8592274983723958
0.6456298828125,0.8626963297526041
0.6461029052734375,0.8611297607421875
0.6457875569661459,0.8639577229817708
0.6460927327473958,0.8647410074869791
0.6442006429036459,0.8666330973307292
0.6372019449869792,0.8659871419270833
0.6225179036458333,0.8618062337239583
0.6397806803385416,0.8682759602864583
0.6264088948567709,0.8683827718098958
0.6377003987630208,0.8694407145182291
0.6356862386067708,0.8704579671223958
0.6325327555338542,0.871978759765625
0.6326243082682291,0.8713328043619792
0.6286875406901042,0.8728078206380208
0.6286468505859375,0.8737233479817709
0.6285909016927083,0.8733927408854167
0.6268056233723959,0.8750203450520833
